"","authors","nrc_negative","nrc_positive","nrc_ratio","copeopi","tw_negative","tw_positive","tw_ratio"
"33","['胡先驌']",0.119940029985007,0.250374812593703,0.130434782608696,0.0684432429324894,0.39662447257384,1.02742616033755,0.630801687763713
"34","['蔣維喬']",0.128878281622912,0.212410501193317,0.0835322195704057,0.0483735655844156,0.337662337662338,0.965367965367965,0.627705627705628
"35","['袁釗']",0.220408163265306,0.179591836734694,-0.0408163265306123,-0.00666815719897959,0.612244897959184,0.726190476190476,0.113945578231292
"36","['誦虞']",0.0970149253731343,0.156716417910448,0.0597014925373134,0.0818178515625,0.390625,0.921875,0.53125
"37","['邵元冲']",0.129265770423992,0.238883143743537,0.109617373319545,0.0743846434942966,0.447401774397972,0.958174904942966,0.510773130544994
"38","['陳北鷗']",0.201086956521739,0.203804347826087,0.00271739130434781,0.0336295518092105,0.509868421052632,0.792763157894737,0.282894736842105
"39","['陳嘉異']",0.173010380622837,0.227508650519031,0.0544982698961938,0.0585435452027695,0.481701285855589,0.938674579624134,0.456973293768546
"40","['馬伯援']",0.15,0.202380952380952,0.0523809523809524,0.0611963199052133,0.535545023696682,0.838862559241706,0.303317535545024
"41","['高勞']",0.182795698924731,0.188172043010753,0.0053763440860215,-0.00250077598349057,0.544811320754717,0.738207547169811,0.193396226415094
"42","['黃惟志']",0.138173302107728,0.236533957845433,0.0983606557377049,0.101630854924242,0.481060606060606,1.21590909090909,0.734848484848485
"43","['黎正甫']",0.183561643835616,0.178082191780822,-0.00547945205479453,0.0126771244389027,0.491271820448878,0.932668329177057,0.44139650872818
"44",NA,0.16305917850153,0.154748055596482,-0.00831112290504812,0.0343036243771084,0.435094265218005,0.742211725495194,0.307117460277189
